2018-02-13T21:38:05.043416Z, 583, 1514
2018-02-13T21:38:05.155228Z, 257, 117
2018-02-13T21:38:05.163863Z, 556, 1093
2018-02-13T21:38:05.308829Z, 97, 1514
2018-02-13T21:39:04.000762Z, 257, 117
2018-02-13T21:39:04.010561Z, 557, 1095
2018-02-13T21:39:04.206016Z, 97, 1514
2018-02-13T21:40:05.753243Z, 257, 117
2018-02-13T21:40:05.762267Z, 556, 1093
2018-02-13T21:40:05.931412Z, 97, 1514
2018-02-13T21:41:08.353766Z, 257, 117
2018-02-13T21:41:08.362631Z, 557, 1094
2018-02-13T21:41:08.546560Z, 97, 1514
2018-02-13T21:42:08.123413Z, 257, 117
2018-02-13T21:42:08.131924Z, 556, 1093
2018-02-13T21:42:08.494681Z, 97, 1514
2018-02-13T21:43:09.826520Z, 257, 117
2018-02-13T21:43:09.837181Z, 557, 1094
2018-02-13T21:43:09.966621Z, 97, 1514
2018-02-13T21:45:25.365342Z, 257, 117
2018-02-13T21:45:25.603747Z, 556, 1093
2018-02-13T21:45:25.845745Z, 97, 1514
2018-02-13T21:46:27.695935Z, 257, 117
2018-02-13T21:46:27.704376Z, 557, 1094
2018-02-13T21:46:27.830049Z, 97, 1514
2018-02-13T21:47:29.288401Z, 257, 117
2018-02-13T21:47:29.296717Z, 556, 1093
2018-02-13T21:47:29.429058Z, 97, 1514
2018-02-13T21:48:29.928399Z, 257, 117
2018-02-13T21:48:29.937240Z, 557, 1094
2018-02-13T21:48:30.137628Z, 97, 1514
2018-02-13T21:49:31.802264Z, 257, 117
2018-02-13T21:49:31.811145Z, 556, 1093
2018-02-13T21:49:31.945247Z, 97, 1514
2018-02-13T21:50:31.153609Z, 257, 117
2018-02-13T21:50:31.163110Z, 557, 1094
2018-02-13T21:50:31.329159Z, 97, 
